S. No,url,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
1,australianvisainfo.com,Indian Railway Catering and Tourism Corporation (IRCTC),Phishing
2,sparkpostmail.com,Indian Railway Catering and Tourism Corporation (IRCTC),Phishing
3,wetransfer.com,Indian Railway Catering and Tourism Corporation (IRCTC),Phishing
4,empresas.icicicbank.com/,ICICI Bank,Phishing
5,mycardreward.in,ICICI Bank,Phishing
6,hrzkmo.icicicbank.com/,ICICI Bank,Phishing
7,v.icicibank.in/,ICICI Bank,Phishing
8,db2.icicicbank.com/,ICICI Bank,Phishing
9,iccifund.com,ICICI Bank,Phishing
10,icicpsomtng.top,ICICI Bank,Phishing
11,icicadisfurnishseveries.monster,ICICI Bank,Phishing
12,niloonline.shop,ICICI Bank,Phishing
13,savingsaccount.store,ICICI Bank,Phishing
14,icicmm.com,ICICI Bank,Phishing
15,iciciworkflow1.com,ICICI Bank,Phishing
16,icicinc.top,ICICI Bank,Phishing
17,onesource.run,ICICI Bank,Phishing
18,gpvpn.icicibanbk.com/,ICICI Bank,Phishing
19,mta-sts.smtp3.iciciprulife.co/,ICICI Bank,Phishing
20,mta-sts.salescrm.icicibamk.com/,ICICI Bank,Phishing
21,theholw6.icicibamk.com/,ICICI Bank,Phishing
22,9d9a28c3-ca42-43e2-b578-78b49bf03843.random.iciciprulife.co/,ICICI Bank,Phishing
23,7fb3673b-ec46-430b-8f68-880513a8294e.random.iciciprulife.co/,ICICI Bank,Phishing
24,ww7.icicicareer.com/?usid=104&utid=e2ae6f9bb335c7eb2c8182151dacb3a8,ICICI Bank,Phishing
25,resolver1.icicibamnk.com/,ICICI Bank,Phishing
26,mta-sts.test.icicibamk.com/,ICICI Bank,Phishing
27,doh.icicibamnk.com/,ICICI Bank,Phishing
28,mta-sts.notexistsicicibank.carreer.com/,ICICI Bank,Phishing
29,omwzeriyadww25.beta.icicibamk.com/,ICICI Bank,Phishing
30,icicicardonline.info,ICICI Bank,Phishing
31,icici-inr.top,ICICI Bank,Phishing
32,icicio.top,ICICI Bank,Phishing
33,mta-sts.docs.iciciprulife.co/,ICICI Bank,Phishing
34,mta-sts.vpn.iciciproperties.com/,ICICI Bank,Phishing
35,dienstleistungsrichtlinie.icicicbank.com/,ICICI Bank,Phishing
36,988a3cf0-88de-435e-90fe-ef14229bee3b.random.iciciprulife.co/,ICICI Bank,Phishing
37,members.icicicbank.com/,ICICI Bank,Phishing
38,mta-sts.forums.icicibamk.com/,ICICI Bank,Phishing
39,ww38.secure.iciciditect.com/,ICICI Bank,Phishing
40,ere-nova.icicicbank.com/,ICICI Bank,Phishing
41,iciciv.com,ICICI Bank,Phishing
42,icicicc.com,ICICI Bank,Phishing
43,imobile.icicibasnk.com/,ICICI Bank,Phishing
44,ww38.infinitynxt.icicibank.site/,ICICI Bank,Phishing
45,icicibank.msy169.xyz/,ICICI Bank,Phishing
46,mta-sts.icicibank-staging.alardah.com/,ICICI Bank,Phishing
47,server.icicibannk.com/,ICICI Bank,Phishing
48,ww38.store.iciciprulifeinsurance.com/,ICICI Bank,Phishing
49,store.acqweb.icicicbank.com/,ICICI Bank,Phishing
50,www.buy.icicibanlk.com/,ICICI Bank,Phishing
51,www.store.icicicdirect.com/,ICICI Bank,Phishing
52,fortivpn.iciciprulife.co/,ICICI Bank,Phishing
53,zafpshvx.icici.app/,ICICI Bank,Phishing
54,www.uat.icici.app/,ICICI Bank,Phishing
55,aic1c1.vip,ICICI Bank,Phishing
56,iccici.com,ICICI Bank,Phishing
57,iciinsurance.online,ICICI Bank,Phishing
58,l2n2uhji85.icicibasnk.com/,ICICI Bank,Phishing
59,icicle1.com,ICICI Bank,Phishing
60,icici.care.co.in/,ICICI Bank,Phishing
61,test.icicibank.live/,ICICI Bank,Phishing
62,viyionline.com,ICICI Bank,Phishing
63,imenonline.com,ICICI Bank,Phishing
64,stg.icici.app/,ICICI Bank,Phishing
65,email.icicicbank.com/,ICICI Bank,Phishing
66,www.job-in-bank-icici.today/lander,ICICI Bank,Phishing
67,icicci.top,ICICI Bank,Phishing
68,ficicilarnesine.xyz,ICICI Bank,Phishing
69,icicbgroups.online,ICICI Bank,Phishing
70,www.icicihomel.oan.com/,ICICI Bank,Phishing
71,icicn.top/in,ICICI Bank,Phishing
72,icicin.top/in,ICICI Bank,Phishing
73,icicibankpersonalloaninchennai.in,ICICI Bank,Phishing
74,icicibankcreditcards.in,ICICI Bank,Phishing
75,cicicici.cn,ICICI Bank,Phishing
76,cicici.cc,ICICI Bank,Phishing
77,icici.nanorep.co/widget/widget.html,ICICI Bank,Phishing
78,jicici.cn,ICICI Bank,Phishing
79,xcicicicici.com,ICICI Bank,Phishing
80,picici.tk,ICICI Bank,Phishing
81,lilicici.cn,ICICI Bank,Phishing
82,icicimagos.tk,ICICI Bank,Phishing
83,okicici.com,ICICI Bank,Phishing
84,wicici.com,ICICI Bank,Phishing
85,cicici.wang,ICICI Bank,Phishing
86,cicici.it,ICICI Bank,Phishing
87,icici-learningmatrix.co.uk,ICICI Bank,Phishing
88,cicicici.ml,ICICI Bank,Phishing
89,iconicicing.com.au,ICICI Bank,Phishing
90,komuzicici.ga,ICICI Bank,Phishing
91,picicizylu.cf,ICICI Bank,Phishing
92,icicic.me,ICICI Bank,Phishing
93,idicici.com,ICICI Bank,Phishing
94,icicim.com,ICICI Bank,Phishing
95,cicicitv.xyz,ICICI Bank,Phishing
96,icicinps.com,ICICI Bank,Phishing
97,bicicionline.net,ICICI Bank,Phishing
98,belicicil.com,ICICI Bank,Phishing
99,bificiciriqi.cf,ICICI Bank,Phishing
100,qibimicici.cf,ICICI Bank,Phishing
101,cicici.se,ICICI Bank,Phishing
102,wicicixusa.tk,ICICI Bank,Phishing
103,yicicibuxiangh.top,ICICI Bank,Phishing
104,uriciciposuz.tk,ICICI Bank,Phishing
105,cicici.fun,ICICI Bank,Phishing
106,modicici.com,ICICI Bank,Phishing
107,yvicicid.tk,ICICI Bank,Phishing
108,vicicimuxy.tk,ICICI Bank,Phishing
109,ricicioterpu.cf,ICICI Bank,Phishing
110,kobicici.ga,ICICI Bank,Phishing
111,weicici.com,ICICI Bank,Phishing
112,icicinev.gq,ICICI Bank,Phishing
113,icicinabk.com,ICICI Bank,Phishing
114,citcibank.com,ICICI Bank,Phishing
115,icicivil.net.au,ICICI Bank,Phishing
